N,M,K,Time_s,GFLOPS
256,256,64,0.0019652843475341797,213.41970210379716
256,256,128,0.0028383731842041016,295.542814689895
256,256,192,0.004125833511352539,304.9786658956834
256,256,256,0.0033981800079345703,493.711809286915
256,256,320,0.005856037139892578,358.11794732546207
256,256,384,0.006602048873901367,381.1820312249323
256,256,448,0.008072614669799805,363.7003523757701
256,256,512,0.018995046615600586,176.64832668766303
256,256,576,0.0057830810546875,652.7443700517151
256,256,640,0.0062046051025390625,675.998541516139
256,256,704,0.007874011993408203,585.9445482001332
256,256,768,0.00830388069152832,606.1220033104366
256,256,832,0.009009599685668945,605.1983873016168
256,256,896,0.00943446159362793,622.4017705436405
256,256,960,0.008783102035522461,716.3136639600424
256,256,1024,0.008986711502075195,746.7566304370997
256,256,1088,0.013202667236328125,540.0663875236058
256,256,1152,0.010946035385131836,689.7243553821263
256,256,1216,0.010502815246582031,758.7658559064379
256,256,1280,0.01417088508605957,591.9607666744957
256,256,1344,0.011556148529052734,762.194980261473
256,256,1408,0.01419830322265625,649.8994038439548
256,256,1472,0.030648231506347656,314.7620180956281
256,256,1536,0.012652158737182617,795.6215068987959
256,256,1600,0.013366937637329102,784.4549203788459
256,256,1664,0.015211343765258789,716.9117053883419
256,256,1728,0.016127824783325195,702.1790571353862
256,256,1792,0.016684532165527344,703.8885527917234
256,256,1856,0.0170440673828125,713.6489974374216
256,256,1920,0.01717519760131836,732.6210907194536
256,256,1984,0.017375946044921875,748.2955095731285
256,256,2048,0.017598390579223633,762.6704691874222
256,256,2112,0.017201900482177734,804.632209931709
256,256,2176,0.017618179321289062,809.4272024333441
256,256,2240,0.01804351806640625,813.5921135763214
256,256,2304,0.020900487899780273,722.4469817357106
256,256,2368,0.019095659255981445,812.6938479559913
256,256,2432,0.02277517318725586,699.8126894121056
256,256,2496,0.020148277282714844,811.8701847543712
256,256,2560,0.022626399993896484,741.4885268768203
256,256,2624,0.02087879180908203,823.6418350854793
256,256,2688,0.02229022979736328,790.3048537473495
256,256,2752,0.024105072021484375,748.2038296307644
256,256,2816,0.02298283576965332,802.9878377483781
256,256,2880,0.022960186004638672,822.0476957889971
256,256,2944,0.023584365844726562,818.0757764285645
256,256,3008,0.02425980567932129,812.5880751305141
256,256,3072,0.02485060691833496,810.1475857777131
256,256,3136,0.02554035186767578,804.6909340356821
256,256,3200,0.025642871856689453,817.8303942399167
256,256,3264,0.025975704193115234,823.4983829878073
256,256,3328,0.026181936264038086,833.0316207345372
256,256,3392,0.029050350189208984,765.2166344024818
256,256,3456,0.026979446411132812,839.4998642616331
256,256,3520,0.027948856353759766,825.3887639626704
256,256,3584,0.030269861221313477,775.9567256774095
256,256,3648,0.028611183166503906,835.6009837436352
256,256,3712,0.0297393798828125,818.0050591458183
256,256,3776,0.029473066329956055,839.6273846419596
256,256,3840,0.029829025268554688,843.6690027055438
256,256,3904,0.032022714614868164,798.9720642896636
256,256,3968,0.033338308334350586,780.0241253754833
256,256,4032,0.033327579498291016,792.860315624031
256,256,4096,0.03368115425109863,796.9900734362272
