name,dur,op_name,input_type_shape,output_type_shape
QLinearConv_token_834_kernel_time,517.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_837_kernel_time,253.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus1_quant_kernel_time,47.0,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
QLinearConv_token_841_kernel_time,236.0,QLinearConv,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_844_kernel_time,514.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [512]}, {""int8"": [512]}, {""float"": []}, {""uint8"": []}, {""int32"": [512]}]","[{""uint8"": [1, 7, 7, 512]}]"
QLinearConv_token_847_kernel_time,254.0,QLinearConv,"[{""uint8"": [1, 7, 7, 512]}, {""float"": []}, {""uint8"": []}, {""float"": [2048]}, {""int8"": [2048]}, {""float"": []}, {""uint8"": []}, {""int32"": [2048]}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_stage4__plus2_quant_kernel_time,47.0,QLinearAdd,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 7, 7, 2048]}]"
resnetv17_pool1_fwd_quant_kernel_time,49.0,QLinearGlobalAveragePool,"[{""uint8"": [1, 7, 7, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1, 1, 2048]}]"
Transpose_token_866_kernel_time,7.0,Transpose,"[{""uint8"": [1, 1, 1, 2048]}]","[{""uint8"": [1, 2048, 1, 1]}]"
resnetv17_pool1_fwd_DequantizeLinear_kernel_time,8.0,DequantizeLinear,"[{""uint8"": [1, 2048, 1, 1]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 2048, 1, 1]}]"
flatten_473_kernel_time,6.0,Flatten,"[{""float"": [1, 2048, 1, 1]}]","[{""float"": [1, 2048]}]"
flatten_473_QuantizeLinear_kernel_time,9.0,QuantizeLinear,"[{""float"": [1, 2048]}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 2048]}]"
resnetv17_dense0_fwd_MatMul_quant_kernel_time,91.0,QLinearMatMul,"[{""uint8"": [1, 2048]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""int8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1000]}]"
resnetv17_dense0_fwd_Add_quant_kernel_time,11.0,QLinearAdd,"[{""uint8"": [1, 1000]}, {""float"": []}, {""uint8"": []}, {""uint8"": [1000]}, {""float"": []}, {""uint8"": []}, {""float"": []}, {""uint8"": []}]","[{""uint8"": [1, 1000]}]"
resnetv17_dense0_fwd_DequantizeLinear_kernel_time,8.0,DequantizeLinear,"[{""uint8"": [1, 1000]}, {""float"": []}, {""uint8"": []}]","[{""float"": [1, 1000]}]"
SequentialExecutor::Execute,17527.0,,[],[]
model_run,17584.0,,[],[]
